Sender;Emfpänger;Sendeort vor 1710 (Name) ;Sendeort vor 1710 (lat-long) ;Sendeort unklar (Name);Sendeort unklar (lat-long);Sendeort nach 1710 (Name);Sendeort nach 1710 (lat-long) ;Empfangsort (unzuverlässig) ;Empfangsort (lat-long);Datum
Scharschmidt, Justus Samuel;Müller, Peter;;;;;Moskau;55.7504461, 37.6174943;"Moskau; Schabaczar";;1712.11.04
Scharschmidt, Justus Samuel;Pfeffinger, Johannes, 1698;;;;;Moskau;55.7504461, 37.6174943;Moskau;;1712.11.04
Scharschmidt, Justus Samuel;Scharschmidt, Christian Friedrich;;;;;Moskau;55.7504461, 37.6174943;Moskau;;1712.11.13
Scharschmidt, Justus Samuel;Francke, August Hermann;;;;;Moskau;55.7504461, 37.6174943;Moskau;;1712.11.13
Scharschmidt, Justus Samuel;Francke, August Hermann;;;;;Moskau;55.7504461, 37.6174943;Moskau;;1712.12.24
Scharschmidt, Justus Samuel;Francke, August Hermann;;;;;Smolensk;54.77897, 32.0471812;"Smolensk; Tobolsk; Moskau; Halle (Saale)";;1713.01.29
Scharschmidt, Justus Samuel;Francke, August Hermann;;;;;Smolensk;54.77897, 32.0471812;"Smolensk; Moskau";;1713.01.30
Scharschmidt, Justus Samuel;Francke, August Hermann;;;Nischna [in Kamtschatka?];;;;"Nischna; Smolensk; Moskau";;1713.04.20
Scharschmidt, Justus Samuel;Francke, August Hermann;;;Nischna;;;;"Nischna; Breslau; Ruáland";;1713.05.04
Scharschmidt, Justus Samuel;Francke, August Hermann;;;;;Kiew;50.4500336, 30.5241361;"Kiew; Moskau; Astrachan";;1713.08.01
Scharschmidt, Justus Samuel;Francke, August Hermann;;;;;Moskau;55.7504461, 37.6174943;"Moskau; Kiew";;1713.09.04
Scharschmidt, Justus Samuel;Francke, August Hermann;;;;;Moskau;55.7504461, 37.6174943;Moskau;;1714.01.27
Scharschmidt, Justus Samuel;Francke, August Hermann;;;;;Moskau;55.7504461, 37.6174943;"Moskau; Sankt Petersburg";;1714.02.18
Scharschmidt, Justus Samuel;Francke, August Hermann;;;;;Ugodka;55.001677, 36.7203239;Ugodka;;1714.11.04
Scharschmidt, Justus Samuel;Francke, August Hermann;;;;;Ugodka;55.001677, 36.7203239;Ugodka;;1715.04.06
Scharschmidt, Justus Samuel;Francke, August Hermann;;;;;Ugodka;55.001677, 36.7203239;"Ugodka; Halle (Saale); Sibirien";;1716.01.31
Scharschmidt, Justus Samuel;Francke, August Hermann;;;;;Ugodka;55.001677, 36.7203239;"Ugodka; Moskau";;1716.02.02
Scharschmidt, Justus Samuel;Francke, August Hermann;;;;;Ugodka;55.001677, 36.7203239;"Ugodka; Moskau";;1716.02.17
Scharschmidt, Justus Samuel;Francke, August Hermann;;;;;Ugodka;55.001677, 36.7203239;Ugodka;;1716.10.25
Scharschmidt, Justus Samuel;Francke, August Hermann;;;;;Halle (Saale);51.4825041, 11.9705452;"Halle (Saale); Orient";;1717
Scharschmidt, Justus Samuel;Francke, August Hermann;;;;;Halle (Saale);51.4825041, 11.9705452;Halle (Saale);;1718.05.10
Scharschmidt, Justus Samuel;Francke, August Hermann;;;;;Halle (Saale);51.4825041, 11.9705452;Halle (Saale);;1718.11.08
Scharschmidt, Justus Samuel;Francke, August Hermann;;;;;Quedlinburg;51.7855428, 11.1519933;"Quedlinburg; Braunschweig; Helmstedt; Halberstadt";;1719.09.28
Scharschmidt, Justus Samuel;Francke, August Hermann;;;;;Halle (Saale);51.4825041, 11.9705452;Halle (Saale);;1720.08.28
Scharschmidt, Justus Samuel;Francke, August Hermann;;;;;Halle (Saale);51.4825041, 11.9705452;"Halle (Saale); Schweden, Finnland; Sibirien";;1722.08.20
Scharschmidt, Justus Samuel;unknown;;;o.O;71.9508735, 8.0490089;;;unknown;;o.D.
Scharschmidt, Justus Samuel;unknown;;;o.O;71.9508735, 8.0490090;;;unknown;;o.D.
Scharschmidt, Justus Samuel;unknown;;;unknown;71.9508735, 8.0490091;;;unknown;;unknown
Scharschmidt, Justus Samuel;unknown;;;unknown;71.9508735, 8.0490092;;;unknown;;unknown
Scharschmidt, Justus Samuel;unknown;;;unknown;71.9508735, 8.0490093;;;unknown;;unknown
unknown;unknown;;;unknown;71.9508735, 8.0490094;;;unknown;;unknown
